,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,name,weight,height
27,Delaware,37.0,31.0,24.2,3.8,6.8,0.562,3.8,6.6,0.565,0.1,0.1,0.4,3.3,4.6,0.722,2.6,5.5,8.1,1.4,0.3,0.9,2.1,2.2,11.0,,Dylan Painter,235lb,6-10
28,Pitt,53.0,46.0,33.4,5.4,12.2,0.446,4.4,8.4,0.52,1.1,3.8,0.28,2.8,3.8,0.745,2.6,5.9,8.5,1.0,1.1,1.0,1.2,2.1,14.7,7.03,Justin Champagnie,200lb,6-6
29,Buffalo,54.0,39.0,27.3,4.6,8.8,0.522,4.5,8.4,0.535,0.1,0.4,0.238,3.4,5.4,0.631,4.1,6.0,10.1,1.3,1.4,0.8,2.0,2.8,12.6,,Josh Mballa,220lb,6-7
30,Houston,61.0,31.0,20.5,2.0,4.4,0.44799999999999995,1.5,3.1,0.49700000000000005,0.4,1.3,0.33299999999999996,1.3,1.9,0.7040000000000001,2.4,3.2,5.6,0.9,0.5,0.3,0.6,1.8,5.7,,Justin Gorham,225lb,6-7
31,Oakland,63.0,54.0,29.8,4.3,7.7,0.561,4.3,7.7,0.565,0.0,0.1,0.0,2.3,4.0,0.565,3.1,4.3,7.5,1.5,0.9,0.2,2.2,1.9,11.0,-2.95,Daniel Oladapo,220lb,6-7
32,Purdue,93.0,56.0,18.5,4.5,8.7,0.524,4.5,8.5,0.529,0.0,0.2,0.267,1.3,2.5,0.494,2.9,3.9,6.8,1.4,0.5,0.5,1.5,2.4,10.4,11.32,Trevion Williams,265lb,6-10
33,Mississippi State,30.0,30.0,30.7,4.8,8.4,0.569,4.8,8.4,0.569,0.0,0.0,,3.0,5.0,0.589,3.3,5.1,8.4,1.2,0.5,0.7,2.3,2.6,12.6,,Tolu Smith,245lb,6-10
34,Louisiana,26.0,26.0,27.9,4.3,6.8,0.635,4.3,6.8,0.631,0.1,0.1,1.0,2.5,3.6,0.71,3.8,5.6,9.3,1.0,0.3,2.6,2.0,2.8,11.3,,Theo Akwuba,225lb,6-11
35,UNC,29.0,4.0,19.2,3.9,7.4,0.519,3.9,7.4,0.523,0.0,0.1,0.0,1.8,3.5,0.505,3.3,4.2,7.6,1.4,0.8,0.9,2.0,2.0,9.5,9.52,Day'Ron Sharpe,265lb,6-11
36,Oral Roberts,87.0,67.0,26.2,5.0,9.7,0.516,3.6,6.4,0.563,1.4,3.3,0.425,3.6,4.3,0.835,2.5,5.3,7.9,0.8,0.4,0.6,1.7,2.6,15.0,-1.18,Kevin Obanor,225lb,6-8
37,Colorado State,60.0,45.0,28.4,4.8,9.8,0.489,4.2,7.3,0.5760000000000001,0.6,2.5,0.235,3.4,4.4,0.767,1.9,5.5,7.4,2.2,0.7,0.7,2.2,2.1,13.5,2.51,David Roddy,252lb,6-5
38,South Dakota State,55.0,26.0,26.5,3.4,7.3,0.469,2.1,3.6,0.5770000000000001,1.4,3.8,0.3670000000000001,1.7,2.2,0.773,0.7,5.9,6.6,2.9,0.7,0.2,2.0,1.8,9.9,-3.15,Baylor Scheierman,180lb,6-6
39,Citadel,81.0,51.0,20.9,3.8,7.8,0.4920000000000001,3.1,5.2,0.586,0.8,2.5,0.298,2.0,2.8,0.711,1.6,4.1,5.7,1.5,1.0,0.3,1.7,2.5,10.4,-1.34,Hayden Brown,225lb,6-5
40,Oakland,30.0,29.0,37.8,5.3,13.8,0.38299999999999995,3.6,8.9,0.401,1.7,4.9,0.349,5.7,7.3,0.7759999999999999,0.3,3.9,4.1,8.4,1.7,0.1,3.8,1.7,17.9,-2.8,Jalen Moore,155lb,5-11
41,Pepperdine,125.0,125.0,35.4,5.5,12.7,0.431,3.7,7.9,0.466,1.8,4.7,0.373,5.2,6.2,0.847,0.5,3.2,3.6,6.8,1.1,0.2,3.8,2.5,17.9,2.76,Colbey Ross,180lb,6-1
42,Georgia,57.0,43.0,30.8,4.2,9.8,0.428,3.6,7.5,0.479,0.6,2.3,0.262,2.4,3.3,0.72,0.6,2.5,3.1,5.8,1.2,0.0,3.6,2.7,11.3,8.04,Sahvir Wheeler,180lb,5-10
43,Colorado,131.0,130.0,33.1,5.1,10.9,0.467,4.1,7.8,0.522,1.0,3.1,0.328,3.0,3.7,0.8029999999999999,1.1,3.8,4.9,5.2,1.1,0.3,2.8,1.7,14.2,7.12,McKinley Wright IV,196lb,6-0
44,Toledo,127.0,125.0,32.0,4.6,11.2,0.41,2.2,4.6,0.467,2.4,6.5,0.37,2.7,3.3,0.8240000000000001,0.6,3.6,4.2,4.5,1.4,0.1,2.5,2.0,14.3,-1.1,Marreon Jackson,200lb,6-1
45,Winthrop,58.0,51.0,30.1,3.5,7.9,0.444,2.8,5.8,0.47600000000000003,0.7,2.1,0.355,2.7,4.7,0.5870000000000001,0.8,5.7,6.5,6.3,1.3,0.1,3.0,2.3,10.5,-6.84,Chandler Vaudrin,210lb,6-7
46,UCLA,63.0,63.0,31.9,3.4,8.6,0.397,2.7,6.0,0.456,0.7,2.6,0.259,1.9,2.6,0.721,0.5,1.7,2.2,5.2,1.0,0.0,1.8,2.0,9.3,9.78,Tyger Campbell,180lb,5-11
